,Carrier Name,2-Char IATA,3-Char ICAO
152,Alas Del Sur S.R.L,D4,ASC
153,Alaska Airlines Inc.,AS,ASA
154,Alaska Central Express,KO,AER
155,Albanian Airlines MAK S.H.P.K.,LV,LBC
156,Alitalia-Compagnia Aerea Italiana S.p.A,AZ,AZA
157,All Nippon Airways Co. Ltd.,NH,ANA
158,Alliance Air,CD,LLR
159,Allied Air Ltd.,4W,AJK
160,Alpine Aviation Inc.,5A,AIP
161,Amaszonas S.A.,Z8,
162,American Airlines Inc.,AA,AAL
163,"Ameriflight, LLC",A8,AMF
164,Amerijet International Inc.,M6,AJT
165,Amiri Flight,MO,AUH
166,Andes Lineas Aereas S.A.,OY,
167,Angkor Airways Corporation,G6,AKW
168,Antrak Air Limited,O4,
169,Arctic Circle Air Service Inc.,5F,CIR
170,"Arctic Transportation Services, Inc.",7S,
171,Ariana Afghan Airlines,FG,AFG
172,Arik Niger,Q9,
173,Arkia - Israeli Airlines Ltd,IZ,AIZ
174,Armavia,U8,
175,Arrow Air Inc.,JW,APW
176,"Arrow Panama, S.A.",8A,
177,Asia Alpha Airways,OD,SAL
178,Asiana Airlines Inc.,OZ,AAR
179,Askari Aviation (PVT) Ltd.,4K,
180,Astar Air Cargo,ER,DHL
181,Astraeus Ltd.,5W,AEU
182,Astral Aviation Ltd.,8V,
183,Atlant-Soyuz,7B,AYZ
184,Atlantic Airways Faroe Islands,RC,FLI
185,"Atlantic Southeast Airlines, Inc.",EV,ACY
186,"Atlas Air, Inc.",5Y,
187,Atlasjet Airlines Inc.,KK,KKK
188,Atyrau  Aue Joly,IP,JOL
189,Augsburg Airways GmbH & Co. KG,IQ,AUB
190,Aurigny Air Services Limited,GR,AUR
191,Australian Air Express Pty. Ltd.,XM,XME
192,"Austrian Airlines, Osterreichische",OS,AUA
193,Ave.com,2E,PHW
194,Aviacon Zitotrans Air Company JSC,ZR,
195,Aviaenergo,7U,
196,Aviastar-TU Co.  Aviacompany,4B,TUP
197,"Aviation Services, Ltd.",FP,FRE
198,Aviation Starlink Inc.,Q4,
199,Avient Aviation (PVT) Limited,Z3,SMJ
200,Avient Cameroon S.A.,HC,AVC
201,Aviones de Oriente C.A. (AVIOR),9V,ROI
202,Azerbaijan Hava Yollary,J2,AHY
203,Aztec Worldwide Airlines Inc.,7A,
204,Azul Linhas Aereas Brasileiras,AD,
205,B & H Airlines,JA,
206,BA Cityflyer Limited,CJ,CFE
207,BA European Limited t/a Openskies,EC,
208,BIMINI Island Air Inc.,B9,
209,"Bahamasair Holdings, Limited",UP,BHS
210,Bahrain Air B.S.C.,2B,
211,Bangkok Airways Co. Ltd.,PG,BKP
212,Bankair Inc.,B4,BKA
213,"Baseops International, Inc.",3Y,XBO
214,Bearskin Lake air services Ltd.,JV,BLS
215,Belavia,B2,BRU
216,Belle Air Company,LZ,LBY
217,Bellview Airlines Limited,B3,BLV
218,"Bemidji Aviation Services, Inc.",CH,BMJ
219,Benin Golf Air S.A.,A8,
220,Best Aviation Ltd.,5Q,BEA
221,Biman Bangladesh Airlines,BG,BBC
222,Bismillah Airlines,5Z,
223,Blue Dart Aviation Ltd.,BZ,
224,Blue Panorama Airlines S.p.A.,BV,BPA
225,Blue Wings AG,QW,BWG
226,Blue1 Oy,KF,BLF
227,Bluebird Cargo,BF,
228,"Brendan Airways, LLC",U5,GWY
229,Bringer Air Cargo Taxi Aereo Ltda,E6,BRC
230,Brit Air,DB,BZH
231,British Airways p.l.c.,BA,BAW
232,British Midland Airways Ltd.,BD,BMA
233,Brussels Airlines N.V.,SN,DAT
234,Bulgaria Air,FB,LZB
235,Buraq Air Transport (BRQ),UZ,BRQ
236,C.A.I. Second S.p.A.,VE,VLE
237,C.A.L. Cargo Airlines Ltd.,5C,ICL
238,CEBU Pacific Air,5J,CEB
239,CEIBA Intercontinental S.A.,C2,
240,CJSC Airline 400,WZ,RWZ
241,CONVIASA,V0,VCV
242,CORSAIR,SS,CRL
243,Calm Air International Ltd.,MO,CAV
244,Canadian North Inc.,5T,
245,Capital Cargo International,PT,
