,Carrier Name,2-Char IATA,3-Char ICAO
650,SAS Scandinavian Airlines Norge AS,BU,CNO
651,SATA - Air Acores,SP,SAT
652,SATA International Servicos e,S4,RZO
653,SEVENAIR S.A.,UG,TUI
654,SOL S.A. Lineas Aereas,8R,
655,"SWIFT AIR,L.L.C.",Q7,SWQ
656,SWISS International Air Lines Ltd,LX,SWR
657,Safair (Proprietary) Ltd.,FA,SFR
658,Safi Airways Ltd.,4Q,SFW
659,Sama Air LLC,S8,
660,Sama Airways Ltd.,ZS,
661,Samara Airlines,E5,BRZ
662,Saudi Arabian Airlines,SV,SVA
663,Sayakhat Airlines,W7,SAH
664,Scandinavian Airlines System (SAS),SK,SAS
665,"Scenic Airlines, Inc.",YR,EGJ
666,Servicios Aereos Nacionales S.A.,RZ,LRS
667,Shaheen Air International,NL,SAI
668,Sham Wings Airlines,6Q,SAW
669,Shandong Airlines,SC,CDG
670,Shanghai Airlines Cargo International,F4,SHQ
671,Shanghai Airlines Co. Ltd.,FM,
672,Shenzhen Airlines,ZH,CSZ
673,"Shenzhen Donghai Airlines Co., Ltd",J5,
674,Shun Tak-China Travel Ship Mgmt. Ltd.,8S,
675,Shuttle America,S5,
676,Siberia Airlines,S7,SBI
677,Sichuan Airlines Co. Ltd.,3U,
678,Siem Reap Airways International,FT,SRH
679,Silk Way Airlines,ZP,
680,SilkAir (S) Pte. Ltd.,MI,SLK
681,Singapore Airlines Cargo Pte. Ltd.,SQ,SQC
682,Singapore Airlines Limited,SQ,SIA
683,Sky Air World Pty Ltd,S9,
684,Sky Express,XW,
685,Sky Express S.A.,GQ,SHE
686,Sky Gabon S.A.,GV,SKG
687,Sky Jet Aviation Ltd,UQ,SJA
688,Sky Service S.A. dba Sky Airline,H2,SKU
689,Sky Way Enterprises Inc.,KI,SKZ
690,SkyStar Airways Company Limited,XT,SKT
691,SkyWest  Airlines,OO,SKW
692,"Skybus Airlines, LLC",SX,
693,Skymark Airlines Inc.,BC,SKY
694,"Skynet Asia Airways Co., Ltd.",LQ,
695,Skyservice Airlines Inc.,5G,SSV
696,Skyways AB,JZ,SKX
697,Skywest Airlines Pty. Ltd.,XR,
698,Sociedad Aeronautica de Medellin,MM,SAM
699,Societe De Transport De L'Archipel,OG,
700,Societe Nouvelle Air Ivoire,VU,
701,"Solar Cargo, C.A.",4S,OLC
702,Solomon Airlines,IE,SOL
703,South African Airways,SA,SAA
704,South-East European Airlines,G2,GGG
705,Southern Air Inc.,9S,SOO
706,Southwest Airlines Co.,WN,SWA
707,Spanair S.A.,JK,JKK
708,Spirit Airlines,NK,
709,Spring Airlines Limited Corporation,9C,
710,SriLankan Airlines Limited,UL,ALK
711,Stabo Air Limited,,SBO
712,Star Air A/S,S6,SRR
713,Star Equatorial Airlines,2S,
714,Star Up S.A.,2I,SRU
715,Starlight Airline,QP,SLT
716,Sterling Airlines A/S,NB,
717,Sudan Airways Co. Ltd.,SD,SUD
718,SunExpress,XQ,SXS
719,Sunwing Airlines Inc.,WG,
720,Surinam Airways Ltd.,PY,SLM
721,Swiftair,7J,SWT
722,Syrian Arab Airlines,RB,SYR
723,TAAG - Linhas Aereas de Angola,DT,DTA
724,TACA Costa Rica Sociedad Anonima,TI,TAT
725,TAM - Transportes Aereos del,PZ,LAP
726,TAM Linhas Aereas S.A.,JJ,TAM
727,TAME Linea Aerea del Ecuador,EQ,TAE
728,TAP - Air Portugal,TP,TAP
729,TAROM - Transporturile Aeriene Romane,RO,ROT
730,TNT Airways S.A.,3V,TAY
731,TRIP Transporte Aereos Regionais Do,T4,
732,TUI Airlines Nederland B.V.,OR,TFL
733,TUIfly Nordic AB,6B,BLX
734,"Taca International Airlines, S.A.",TA,TAI
735,Taf Linhas Aereas S.A.,R9,TSD
736,Tandem Aero Ltd.,TQ,TDM
737,Tasman Cargo Airlines PTY LTD,HJ,
738,Tatarstan JSC Aircompany,U9,
739,Tatonduk Outfitters Limited.,3Z,
740,Taxi Fly Group S.A.,P5,JPR
741,Tbilaviamsheni,L6,VNZ
742,"Thai AirAsia Co., Ltd.",FD,
743,Thai Airways International Public,TG,THA
744,Thomas Cook Airlines Scandinavia A/S,DK,VKG
745,Thomas Cook Airlines U.K. Limited,MT,TCX
746,Thomson Airways Limited,BY,TOM
747,Tiara Air N.V.,3P,
748,Titan Airways Limited,ZT,AWC
749,Toumai Air Tchad,9D,
750,Trade Air Ltd.,8P,TDR
751,Tradewinds Airlines Inc.,WI,
752,Trans Air Benin,N4,TNB
753,"Trans American Airlines, S.A. TACA PERU",T0,
754,"Trans States Airlines, Inc.",AX,LOF
755,TransAsia Airways Corporation,GE,TNA
756,Transaero Airlines,UN,TSO
757,Transavia Airlines,HV,TRA
758,Transaviaexport Cargo Airline,AL,TXC
759,"Transcarga Int'l Airways, C.A.",T9,
760,Transmile Air Services Sdn. Bhd.,TH,
761,Transport Africa,9K,TFZ
762,Transporte Aereo S.A.,LU,
763,Transportes Aereos Bolivianos,,BOL
764,Transportes Aereos Cielos Andinos S.A.C.,9P,CIE
765,Transportes Aereos Mercantiles,QT,TPA
766,Transportes Aereos de Cabo Verde,VR,TCV
767,"Transportes Aeromar, S.A. de C.V.",VW,TAO
768,Trast Aero,S5,TSJ
769,Tunca Havacilik A.S. BestAir,5F,
770,Tunisair,TU,TAR
771,Turan Air Airline Company,3T,URN
772,Turkish Airlines Inc.,TK,THY
773,Turkmenistan Airlines,T5,TUA
774,Turks Air,6T,
775,Turkuaz Airlines,HK,TRK
776,Tyrolean Airways Tiroler Luftfahrt GmbH,VO,TYR
777,UNI Airways Corporation,B7,UIA
778,UPS,5X,UPS
779,"US Airways, Inc.",US,USA
780,"USA Jet Airlines, Inc.",UJ,JUS
781,UTair Aviation Joint-Stock Company,UT,TMN
782,Ukraine International Airlines,PS,AUI
783,Ukrainian Mediterranean Airlines Ltd.,UF,UKM
784,"United Airlines, Inc.",UA,UAL
785,United Airways Bangladesh Ltd,4H,
786,United Eagle Airlines Co Ltd,EU,
787,"Universal Airways, Inc.",UV,UVA
788,Ural Airlines,U6,SVR
789,Utair - Express Limited Company,UR,
790,Uzbekistan Havo Yullary -,HY,UZB
791,VIM Airlines,NN,MOV
792,VRG Linhas Aereas S.A.,G3,
793,Valuair Ltd.,VF,
794,"Van Air Europe, a.s.",6Z,
795,Varig Logistica S/A,LC,VLO
796,Vensecar Internacional C.A.,V4,VEC
797,Vietnam Air Service Company,0V,
798,Vietnam Airlines Corporation,VN,HVN
799,"Vip Air, spol. S.r.o",V5,VPA
800,Virgin America Inc.,VX,VRD
801,Virgin Atlantic Airways Limited,VS,VIR
802,Virgin Blue Airlines Pty Ltd,DJ,VOZ
803,Virgin Blue International Airlines,VA,VAU
804,Virgin Nigeria Airways,VK,VGN
805,Viva Macau Limited,ZG,
806,Vladivostok Air JSC,XF,VLK
807,Volga-Dnepr Airline Joint Stock,VI,VDA
808,Voyager Airlines Ltd,V6,VOG
809,Webjet Linhas Aereas S/A,WH,WEB
810,West Coast Air,8O,
811,WestJet,WS,WJA
812,White Airways S.A.,,WHT
813,Wideroe's Flyveselskap A.S.,WF,WIF
814,Wind Rose Aviation Company,7W,
815,Windward Islands Airways Int'l  N.V.,WM,WIA
816,Wings Air,IW,
817,Woodgate Executive Air Charter UK Ltd.,3W,
818,World Airways,WO,WOA
819,Worldwide Jet Charter L.L.C.,T8,WWI
820,XL Airways France,SE,XLF
821,Xiamen Airlines,MF,CXA
822,Yamal Airlines,YC,LLM
823,Yangtze River Express Airlines Company,Y8,YZR
824,Yemenia - Yemen Airways,IY,IYE
825,Zambezi Airlines,ZJ,ZMA
826,Zambia Skyways Ltd.,K8,
827,Zambian Airways,Q3,MAZ
828,Zoom Airlines Inc.,Z4,OOM
829,Zoom Airways Limited,3Z,ZAW
