id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
3W21O7XftADjHxsaiElgD2,0.835,0.337,0.39,0.0,10,0.0842,-12.626,1,0.0319,96.45700000000001,0.22699999999999998,3
1HpVg0r4QWCFfN8t9PamxE,0.789,0.6809999999999999,0.56,0.0,7,0.275,-8.732000000000001,1,0.0286,110.796,0.9620000000000001,4
5TDlZpJPbEJ4UwhKcWpnkv,0.268,0.5670000000000001,0.5379999999999999,0.0,5,0.33799999999999997,-9.435,1,0.07400000000000001,143.141,0.9670000000000001,4
0oo8rs8aXDo1gvmG06nTRR,0.948,0.507,0.174,0.0138,5,0.289,-14.947000000000001,1,0.0314,72.94,0.45299999999999996,4
6zKwKoLZc8O7dc3oKSJRVI,0.769,0.46399999999999997,0.268,9.73e-06,5,0.184,-12.644,1,0.0311,114.47,0.467,4
6uQlc0WC4jGIJhIKCIfHJo,0.884,0.588,0.158,0.000648,11,0.111,-17.737000000000002,1,0.0341,105.65899999999999,0.47200000000000003,4
2xAUlBlUs3sCv81nHHcmGM,0.11199999999999999,0.664,0.5920000000000001,7.140000000000001e-05,5,0.27899999999999997,-10.142999999999999,1,0.042,112.74,0.868,4
2f9HNN1AnSoBiW2aObROr3,0.183,0.655,0.649,0.0,2,0.0969,-8.092,1,0.0331,95.818,0.773,4
4yc9qEPZ46JLkJ3R8KKdTy,0.14,0.5920000000000001,0.614,8.49e-06,0,0.42100000000000004,-6.422000000000001,1,0.0326,144.808,0.755,4
6YVQQob5RvJ1qRIG52SzAo,0.0164,0.715,0.541,0.0,2,0.0364,-12.742,1,0.0531,128.692,0.741,4
0oeQIP9TJSwmk9VQnEoCt7,0.355,0.275,0.491,5.720000000000001e-05,11,0.0977,-10.855,0,0.0414,175.40200000000002,0.5720000000000001,3
6GmGwLiNYcEs902rK56XbW,0.622,0.624,0.609,0.0,0,0.19699999999999998,-8.769,1,0.0375,126.48100000000001,0.87,4
6p5iX3L9sB7javvRErjbde,0.237,0.391,0.884,0.00358,3,0.11199999999999999,-5.218999999999999,1,0.0643,200.267,0.8640000000000001,4
7jVNFF0E9Zm04J8ezjLuNq,0.18100000000000002,0.76,0.613,0.0,10,0.0957,-9.035,1,0.0517,117.007,0.9440000000000001,4
24LhsmbB0YGkuv6oFwzk2R,0.7040000000000001,0.802,0.675,0.0,10,0.0631,-5.811,1,0.0424,130.7,0.9620000000000001,4
