track_id,duration_ms,explicit,name,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3uZl4FpmHyHdKicUtKHFFt,291426,False,I Want You,11,0.000597,0.846,0.567,0.108,11,0.153,-17.063,1,0.116,96.727,4,0.901
4RUfZBGuiA79ETYeOhis00,206000,False,When I Get To The Border,1,0.113,0.463,0.507,0.0212,0,0.0984,-14.288,1,0.0366,153.74,4,0.669
2KxU9rHEXeQSYJxiYzVy2B,230666,False,The Calvary Cross,2,0.239,0.644,0.217,0.00606,9,0.156,-16.985,0,0.0402,115.384,4,0.14
3H5KrjD6dKdeNG3iOtaOR6,204666,False,Withered And Died,3,0.446,0.485,0.142,0.00974,0,0.123,-17.623,1,0.0267,86.432,3,0.237
2MFORnxJtvb5T71LDA7GzD,187333,False,I Want To See The Bright Lights Tonight,4,0.178,0.683,0.361,0.00149,0,0.0557,-13.383,1,0.0362,139.815,4,0.849
2BFvJnuCXwCLp2DRY2nmf7,244333,False,Down Where The Drunkards Roll,5,0.898,0.449,0.0994,0.00276,10,0.108,-16.229,1,0.0318,124.537,4,0.205
3SwrturrMzcZCoqHpUGCzs,170173,False,We Sing Hallelujah,6,0.198,0.679,0.38,0.0146,9,0.0507,-12.263,1,0.0288,124.544,4,0.789
3MNUE7zobWk1ufwYlbY1E1,211840,False,Has He Got A Friend For Me,7,0.743,0.508,0.125,0.16,10,0.111,-17.559,1,0.031,96.729,3,0.191
2dHillERMLIaOa1wrI3Fd7,204160,False,The Little Beggar Girl,8,0.346,0.766,0.409,0.000319,0,0.0863,-15.029,1,0.0423,117.882,4,0.682
5bpqHOtrWG18FxSfA7Jzsb,235000,False,The End Of The Rainbow,9,0.722,0.603,0.146,0.552,0,0.103,-17.85,0,0.0349,122.725,4,0.149
2mwJxRU2FGrjFBVdWzpSSt,322666,False,The Great Valerio,10,0.759,0.564,0.0536,0.000858,4,0.132,-17.513,1,0.0367,127.447,4,0.0401
0HEmnAUT8PHznIAAmVXqFJ,193200,False,Faith - Remastered,1,0.0094,0.887,0.48,3.58e-05,11,0.0662,-11.994,1,0.117,95.846,4,0.607
0L0T4tMAaGqLgIVj1MOj9t,336666,False,Father Figure - Remastered,2,0.163,0.689,0.333,3.36e-05,3,0.0853,-13.288,1,0.0262,101.988,4,0.284
6QnFHieoch6U9J8zfv6hml,557293,False,I Want Your Sex - Pts. 1 & 2 Remastered,3,0.00509,0.812,0.6,0.0248,10,0.0465,-13.418,0,0.0538,99.189,4,0.8
5932kbyNt445gDTT2chRUS,350666,False,One More Try - Remastered,4,0.434,0.551,0.291,3.78e-05,5,0.11,-12.544,1,0.0283,119.005,3,0.0823
2nOtY4QR3Q0ZCFtPsODOr8,288066,False,Hard Day - Remastered,5,0.000573,0.748,0.564,0.3,10,0.0554,-11.041,0,0.074,95.511,4,0.212
4wLjiz87aGbmDhADeMQWwt,276200,False,Hand to Mouth - Remastered,6,0.00583,0.736,0.606,0.207,0,0.0473,-10.866,1,0.0366,138.687,4,0.933
1JKTgiCDNoi4NQo8Rfhn8C,277800,False,Look at Your Hands - Remastered,7,0.37,0.772,0.915,0.0842,9,0.0542,-8.928,0,0.043,124.365,4,0.645
2nzPzkGP9QSZ1lqvXTfyzT,306120,False,Monkey - Remastered,8,0.0955,0.683,0.879,0.0828,1,0.448,-9.487,0,0.0459,97.062,4,0.702
1sEGwuvScFU2uNzlI7Aepy,280720,False,Kissing a Fool - Remastered,9,0.114,0.28,0.384,1.33e-06,2,0.0831,-9.845,0,0.031,77.949,4,0.143
7y72gopOlQxQHNwsQS15vW,227360,False,A Last Request (I Want Your Sex) - Remastered,10,0.00217,0.771,0.531,0.74,11,0.0785,-11.875,0,0.0414,99.161,4,0.613
5bSASu4W0HJx6CuG8rbRcA,359226,False,Reel Around The Fountain - 2011 Remastered Version,1,0.00507,0.67,0.571,7.23e-05,9,0.124,-9.976,1,0.0255,109.905,4,0.899
2DYCM1sNmGliRszlzPkMiG,239800,False,You've Got Everything Now - 2011 Remastered Version,2,0.00186,0.514,0.792,4.5e-05,9,0.108,-7.732,1,0.0354,149.127,4,0.835
7mlrI6GQJLbDPhBkAK1TkC,267813,False,Miserable Lie - 2011 Remastered Version,3,0.000283,0.346,0.928,0.00331,11,0.0718,-6.549,0,0.131,148.444,4,0.528
3wUMcPzXcmaeW8QxTdyXQO,223253,False,Pretty Girls Make Graves - 2011 Remastered Version,4,0.00543,0.614,0.663,5.3e-06,6,0.199,-9.059,0,0.0265,116.217,4,0.778
4Xgswinq80oMl4a0xhBMWT,277986,False,The Hand That Rocks The Cradle - 2011 Remastered Version,5,0.00082,0.621,0.766,1.9e-06,9,0.21,-10.043,1,0.0316,115.621,4,0.936
1FvDJ9KGxcqwv1utyPL3JZ,162920,False,This Charming Man - 2011 Remastered Version,6,0.00509,0.611,0.846,0.0,11,0.0784,-5.9,1,0.0436,103.912,4,0.751
0uLI1jac8ZJSSRG4QJDo3J,201746,False,Still Ill - 2011 Remastered Version,7,0.0112,0.404,0.927,0.00678,9,0.163,-7.568,1,0.146,175.11,4,0.49
2JZu2ny6Et9wFic99sMF7x,202586,False,Hand In Glove - 2011 Remastered Version,8,8.97e-05,0.445,0.89,0.000176,0,0.284,-7.242,0,0.0354,141.802,4,0.915
3rzYUfyzdZW96cHXnGn1xI,229866,False,What Difference Does It Make? - 2011 Remastered Version,9,0.000492,0.383,0.888,0.000174,1,0.0479,-6.503,0,0.037,163.23,4,0.393
4WKdgb3xzbTSU7WT3kK3na,244640,False,I Don't Owe You Anything - 2011 Remastered Version,10,0.0179,0.696,0.432,0.0,4,0.142,-9.881,1,0.0269,113.307,4,0.597
3nk8Vxo0BuovX4UtvuvcHR,330973,False,Suffer Little Children - 2011 Remastered Version,11,0.0223,0.633,0.51,0.0545,2,0.0875,-9.433,1,0.0246,99.52,4,0.711
1GsVEQfNpSuDZdz1yntZQa,216066,False,Merry Blues,1,0.438,0.638,0.877,0.00474,7,0.134,-8.208,0,0.252,164.039,4,0.894
3JJIdDXjN8oH6ZfPv3pApB,112040,False,Bixo,2,0.762,0.658,0.452,0.0,5,0.506,-9.929,0,0.153,91.321,4,0.971
6JXPYFNQKDD9PipDrzxRnP,89800,False,Eldorado 1997,3,0.138,0.575,0.735,5.87e-06,10,0.817,-7.585,0,0.27,182.543,4,0.962
43hoQmacvWqdKnpog2qtcw,95986,False,Promiscuity,4,0.813,0.652,0.724,0.000277,10,0.238,-8.627,1,0.0506,170.968,4,0.984
3NHuU6OLvSu77HMYXV93l4,112533,False,La Primavera,5,0.709,0.564,0.609,0.00829,11,0.535,-8.26,0,0.0865,175.791,4,0.813
6b37xrsNCWYIUphFBazqD6,239986,False,Me Gustas Tu,6,0.663,0.657,0.741,0.494,11,0.222,-6.822,0,0.0825,175.949,4,0.908
1WSwO430vHpJyjvdEXgofU,279480,False,Denia,7,0.344,0.656,0.838,0.000271,4,0.679,-6.097,0,0.0339,120.0,4,0.7
490Eam6Vp7y7vzuGz35bbk,152613,False,Mi Vida,8,0.574,0.826,0.473,0.00196,9,0.551,-12.609,1,0.0354,137.953,4,0.932
6UrwOlzFL5FT55kd1ZAk9K,114920,False,Trapped By Love,9,0.144,0.733,0.74,0.0,0,0.441,-7.789,0,0.0396,99.001,4,0.716
42O94rF8TR5FXKX8Ymqz1j,116733,False,Le Rendez Vous,10,0.15,0.536,0.698,1.69e-06,0,0.596,-8.312,0,0.114,197.909,4,0.759
3fHw1Y4sD4U2b0s3K4ql9I,229360,False,Mr Bobby,11,0.676,0.642,0.547,0.0171,9,0.194,-7.081,0,0.03,150.05,4,0.967
4SlXWEtT9mFIqe6AJXJ1nk,171226,False,Papito,12,0.468,0.803,0.775,0.0,4,0.411,-4.532,1,0.059,108.016,4,0.967
3D7c877toc0Aec6HLAlILK,93760,False,La Chinita,13,0.675,0.694,0.754,8.18e-05,6,0.207,-6.482,1,0.172,176.03,4,0.952
2W2uxdNpNnLl4sRbKANgFn,136906,False,La Marea,14,0.46,0.697,0.885,1.42e-05,0,0.656,-4.904,1,0.127,120.005,4,0.918
4WAdzFPrvnq77ZS7woIkfv,198426,False,Homens,15,0.792,0.745,0.447,0.000518,9,0.0916,-12.111,0,0.0523,150.021,4,0.974
3bacS4yy1M7WUqkB71HRwj,143640,False,La Vacaloca,16,0.26,0.803,0.467,0.0,2,0.307,-9.955,1,0.0781,149.982,4,0.536
5gUXB6Jt3HQJFMRffLIt4J,236466,False,Infinita Tristeza,17,0.668,0.713,0.592,6.01e-06,11,0.363,-11.305,0,0.346,87.997,4,0.947
5XaUQtpPVrY6pCSPZYjd39,180986,False,Accidents Will Happen,1,0.0464,0.61,0.653,0.0162,9,0.354,-9.008,0,0.0284,120.126,4,0.693
7BVB0phZi9V2tzCaZ09LDw,138026,False,Senior Service,2,0.0455,0.786,0.831,0.0024,5,0.172,-8.526,1,0.0674,132.61,4,0.932
1zaI1thQ0wtiSmlro2YrHW,179613,False,Oliver's Army,3,0.137,0.523,0.735,0.0,4,0.199,-9.199,1,0.0292,143.182,4,0.903
3O1mAVWF9Z9QpNLOLIJScR,175373,False,Big Boys,4,0.282,0.591,0.728,0.0,9,0.218,-8.832,1,0.0739,140.373,4,0.608
3wKihfBw6UgamzNwbAFH8X,162440,False,Green Shirt,5,0.0842,0.548,0.494,0.181,5,0.171,-12.84,1,0.0393,184.781,4,0.484
4laYiTIKf8lEJJ6FN2VENv,201066,False,Party Girl,6,0.00928,0.53,0.481,0.000556,2,0.0309,-8.36,1,0.0268,147.06,4,0.604
5RMdpojuQxGhrxQh0txywF,194506,False,Goon Squad,7,0.0382,0.482,0.923,8.35e-05,11,0.383,-7.026,0,0.0433,138.259,4,0.593
1edAKCw2Z8jdWOYCivvmWA,214106,False,Busy Bodies,8,0.0507,0.443,0.834,0.00119,2,0.3,-8.35,1,0.0355,137.999,4,0.845
5sYL9KEMkO6tA4s5gKfoCb,202320,False,Sunday's Best,9,0.0906,0.668,0.596,0.0,2,0.0953,-10.108,1,0.0254,95.383,3,0.767
261tSSWr6LMdDaBnXRUiRt,168666,False,Moods For Moderns,10,0.0493,0.694,0.747,0.123,9,0.231,-7.809,1,0.0342,138.244,4,0.966
7Fk077HXjbNcziTuTIqpIm,174893,False,Chemistry Class,11,0.102,0.675,0.642,0.00197,2,0.121,-9.329,1,0.0252,111.427,4,0.748
6cEHQN5Qctlljn6odmkFTW,191360,False,Two Little Hitlers,12,0.0187,0.69,0.627,2.23e-06,9,0.0533,-8.654,1,0.0434,114.464,4,0.773
5VA79rd2259Bo2Gyf51XdG,212386,False,"(What's So Funny 'Bout) Peace, Love And Understanding",13,0.00118,0.375,0.948,0.00818,7,0.408,-7.029,1,0.0709,141.629,4,0.482
1ZwfLPG0QcFkhE0jKPDhZU,99200,True,Life After Death (Intro) - 2014 Remastered Version,1,0.756,0.349,0.623,0.0,11,0.433,-5.214,0,0.0881,85.745,4,0.248
11s9e5nZrTXzdDTguBFtou,266733,True,Somebody's Gotta Die - 2014 Remastered Version,2,0.241,0.488,0.905,0.0,8,0.305,-4.21,1,0.334,82.385,4,0.674
7KwZNVEaqikRSBSpyhXK2j,229826,True,Hypnotize - 2014 Remastered Version,3,0.145,0.901,0.697,0.0,9,0.287,-3.439,1,0.28,93.941,4,0.67
0ed6evAMZvewGh4UI9KkVU,286186,True,Kick In The Door - 2014 Remastered Version,4,0.103,0.62,0.854,0.0,6,0.402,-5.578,1,0.628,179.801,4,0.671
1ry9AyQVzzK2iDt6vMY2ku,345466,True,#!*@ You Tonight (feat. R. Kelly) - 2014 Remastered Version,5,0.18,0.578,0.57,0.0,5,0.0632,-4.982,0,0.242,177.772,4,0.716
0iIZ1fqdUIfcE8CIndhlDD,259666,True,Last Day (feat. The Lox) - 2014 Remastered Version,6,0.0145,0.738,0.867,0.0,4,0.111,-5.298,0,0.386,93.706,4,0.355
2Uvwc7D5rhphlzfBDnpYpU,311533,True,I Love The Dough (feat. Jay-Z & Angela Winbush),7,0.178,0.774,0.776,0.0,6,0.283,-5.331,1,0.304,99.071,4,0.654
0S736hkRjkdmuvbZuvx1sh,315360,True,What's Beef - 2014 Remastered Version,8,0.0526,0.698,0.694,4.73e-06,9,0.314,-4.88,1,0.198,154.845,3,0.615
3DzmXojNacImcQ2uIM1wQS,48133,True,B.I.G. (Interlude) - 2014 Remastered Version,9,0.574,0.592,0.993,0.000142,7,0.627,-5.129,1,0.491,99.608,4,0.321
4INDiWSKvqSKDEu7mh8HFz,257399,True,Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version,10,0.0128,0.845,0.884,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,0.904
15LVUC45FiKlBp0wkmJkcv,291040,True,Niggas Bleed - 2014 Remastered Version,11,0.354,0.541,0.847,0.0,1,0.231,-3.386,1,0.264,83.778,4,0.546
7zfmhBiUvGoHz76NO1d5bZ,283053,True,I Got A Story To Tell - 2014 Remastered Version,12,0.227,0.88,0.813,0.013,1,0.0581,-5.589,1,0.269,94.071,4,0.603
19FsxX4RthRMZGfXkImdCb,366880,True,Notorious Thugs - 2014 Remastered Version,13,0.121,0.704,0.873,5.12e-06,11,0.24,-4.057,0,0.144,154.914,4,0.742
612lE4c57zWDOqeWca1Pmf,299333,True,Miss U - 2014 Remastered Version,14,0.215,0.738,0.545,2.43e-05,7,0.279,-6.153,1,0.281,172.077,4,0.541
1eQNHLMYtDFuC58a5Z3bIN,255306,True,Another (feat. Lil' Kim) - 2014 Remastered Version,15,0.00993,0.954,0.639,0.0,2,0.0754,-5.02,1,0.0956,112.08,4,0.653
53duuSwaLOZuIrELvZXqLH,307426,True,Going Back To Cali - 2014 Remastered Version,16,0.207,0.851,0.647,0.0,9,0.0447,-5.847,1,0.339,99.17,4,0.596
1Z7C8ClE8UEaH70jCCeJH2,204026,True,Ten Crack Commandments - 2014 Remastered Version,17,0.0393,0.612,0.85,0.0,1,0.255,-4.703,1,0.5,173.497,4,0.781
2Wl2S9Fmjg2GFCu8qtwyi0,237933,True,Playa Hater - 2014 Remastered Version,18,0.0538,0.501,0.717,0.0,4,0.121,-6.811,0,0.0334,127.194,4,0.253
1Old7SPJD1Ykzb4w1IXY51,333840,True,Nasty Boy - 2014 Remastered Version,19,0.133,0.883,0.831,0.0,7,0.242,-4.89,1,0.195,106.28,4,0.695
0xdYzkbBBfTevSyOJqWUSX,329426,True,Sky's The Limit (feat. 112) - 2014 Remastered Version,20,0.217,0.637,0.66,0.0,0,0.09,-4.792,1,0.162,90.876,4,0.503
3cRvZp3CEbVKMSVaaCZL83,294800,True,The World Is Filled... (feat. Too Short & Puff Daddy) - 2014 Remastered Version,21,0.0279,0.82,0.715,0.0,6,0.149,-4.1,1,0.287,86.054,4,0.844
30pqIwsiYrnPt6a9lUK9M4,326733,True,My Downfall (feat. DMC) - 2014 Remastered Version,22,0.188,0.458,0.824,0.0,11,0.112,-4.224,0,0.519,86.331,4,0.499
2fw0DgUc8GTNxZ2BAv9Fih,318466,True,Long Kiss Goodnight - 2014 Remastered Version,23,0.0962,0.479,0.892,0.0,7,0.373,-4.952,1,0.428,171.397,4,0.348
5elwGhYsxqm09XbHvFyWcw,292933,True,You're Nobody (Til Somebody Kills You) - 2014 Remastered Version,24,0.159,0.626,0.842,1.93e-05,7,0.0945,-5.032,0,0.279,84.657,4,0.624
5aL73MPEZMCTRrND6yBVQs,106866,False,Skid Row - Down Every Road Version,1,0.434,0.489,0.754,0.000148,7,0.154,-9.066,1,0.045,76.416,4,0.89
0FBY3qrYxm42fZWzxx0dbe,154426,False,Sing A Sad Song,2,0.139,0.396,0.316,0.00299,0,0.119,-10.941,1,0.0282,93.587,4,0.472
4O1y66a9HtJMjyi3TMMrI4,137666,False,You Don't Even Try,3,0.0153,0.463,0.392,0.0512,7,0.208,-10.932,1,0.029,103.271,4,0.66
3JTOB7ylHV4NnOW3M8XLPG,153066,False,Sam Hill,4,0.168,0.708,0.355,0.0,5,0.158,-13.763,1,0.0331,98.564,4,0.617
24s4cBJpDCDyCzVEZ12Ins,150200,False,(My Friends Are Gonna Be) Strangers,5,0.54,0.71,0.436,0.00269,5,0.34,-11.072,1,0.0273,126.724,4,0.91
3XsRA5uM1DwVnmaBMPsuSA,164773,False,Just Between The Two Of Us,6,0.531,0.676,0.332,4.23e-06,0,0.153,-10.132,1,0.0287,112.735,4,0.668
7w1OcvLhpUhqfblODRLRsz,144533,False,If I Had Left It Up To You,7,0.406,0.729,0.462,0.000145,0,0.324,-12.688,1,0.0416,113.213,4,0.716
